School Code,School Code Adjusted,School Name,JCPS School Code,School Name Alternate,Display Name,School Zone,Feeder to High School,Network,Great Schools Rating,Great Schools URL,Enrollment,All Grades Enrollment,All Grades Except Preschool Enrollment,Student Teacher Ratio,Grade,Mathematics - All Students Proficient or Distinguished,Mathematics - Economically Disadvantaged Proficient or Distinguished,Mathematics - Non Economically Disadvantaged Proficient or Distinguished,Reading - All Students Proficient or Distinguished,Reading - Economically Disadvantaged Proficient or Distinguished,Reading - Non Economically Disadvantaged Proficient or Distinguished,Total Ready,Teacher Average Years of Experience,Percent of Teachers With 1-3 Years Experience,Percent of Teachers With Less Than 1 Year Experience,Percent of Teachers with 3 Years or Less of Experience,Total Behavior Events,Alcohol,"Assault, 1st Degree",Drugs,Harassment (Includes Bullying),Other Assault or Violence,Other Events Resulting in State Resolutions,Tobacco,Weapons,Percent_Drugs,Percent_Assault,Percent_Total_Behavior,Total Assault Or Weapons,Attendance Rate,Dropout Rate,Students Whose Parents Attended Teacher Conferences,Parents Voted in SBDM Elections,Parents Who Served on SBDM or Committees,Volunteer Hours Contributed by Parents,School Website Link,School Type,Low Grade,High Grade,Title I Status,Contact Name,Address,Address2,PO Box,City,State,Zipcode,Phone,Fax,Latitude,Longitude,KYReportCard URL,Reside,Choice Zone,Universal Magnet Traditional School,Universal Magnet Traditional Program,Geographical Magnet Traditional,Magnet Programs,The Academies of Louisville,The Academies of Louisville Programs,Explore Pathways,Explore Pathways Programs,Specialized School Choices,Universal Academies or Other,Level,GIS Name,Gifted Talented,PTA Membership Percent,Percent Disciplinary Resolutions,Total Discipline Resolutions,Corporal Punishment (SSP5),Restraint (SSP7),Seclusion (SSP8),"Expelled, Not Receiving Services (SSP2)","Expelled, Receiving Services (SSP1)",In-School Removal (INSR) Or In-District Removal (INDR) >=.5,Out-Of-School Suspensions (SSP3),Removal By Hearing Officer (IAES2),Unilateral Removal By School Personnel (IAES1),Start Time,End Time,School Level,Membership,All Grades With Preschool Membership,All Grades Membership,Preschool Membership,Elementary School Membership,Middle School Membership,High School Membership,White %,African American %,Hispanic %,Asian %,Two or More Races %,Economically Disadvantaged %,Parent Satisfaction,Overall Indicator Rating,Overall Indicator Rating - Color
275040,275040,Barret Traditional Middle,40,Barret Traditional,Barret Traditional Middle,Magnet,Magnet,Magnet,7,https://www.greatschools.org/kentucky/louisville/716-Barret-Traditional-Middle-School/,652,652,652,17:01,Grade 8,54,36,68,55,35,69,,16.24,7.1,0,7.1,161,*,0,6,52,10,148,*,*,0.92,1.5,24.7,10,93.2,0,167,158,6,850,barretmiddle.com,A1,6th,8th,Title 1 Eligible - No Program,Amy Strite,2561 Grinstead Drive,,,Louisville,KY,40206,(502) 485-8207,(502) 485-8579,38.249299,-85.695926,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275040,No,No,No,No,Yes,Traditional,#N/A,,No,,No,No,Middle School,BARRETT,22.1,27.8,19.3,126,0,0,0,0,0,60,101,0,0,7:30 a.m.,2:10 p.m.,Middle School,624,624,624,0,0,624,0,44.7,33,5.8,8.8,7.4,47.9,71.2,4,Green
275055,275055,Bates Elementary,55,Bates Elementary,Bates Elementary,Fern Creek Zone,Fern Creek High,Network 2,7,https://www.greatschools.org/kentucky/louisville/723-Bates-Elementary-School/,612,612,612,15:01,Grade 5,62,61,63,63,55,73,67,15.45,6.9,0,6.9,29,0,0,0,7,*,25,0,0,0,0,4.7,0,94.2,,500,25,2,375,https://sites.google.com/jefferson.kyschools.us/bateselementary?usp=sharing,A1,K,5th,Title 1 Eligible - No Program,Sara Nethery,7601 Bardstown Road,,,Louisville,KY,40291,(502) 485-8208,(502) 313-3413,38.137156,-85.578923,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275055,Yes,No,No,No,No,,#N/A,,#N/A,,No,No,Elementary School,,13,36.3,2,12,0,0,0,0,0,10,4,0,0,9:40 a.m.,4:20 p.m.,Elementary School,584,584,584,0,584,0,0,53.9,20.4,12.8,3.6,9.1,60.5,76.3,3,Yellow
275183,275183,Binet School,183,Binet School,Binet School,,,,,,33,33,33,2:01,Grade 10,*,*,*,*,*,*,,7.08,69.2,0,69.2,29,0,0,0,5,*,29,0,0,0,0,87.9,0,90.7,,Non-A1 School,Non-A1 School,Non-A1 School,Non-A1 School,Non-A1 School,A3,K,12th,Title 1 Eligible - Schoolwide School,Trisha Gallagher,3410 Bon Air Ave,,,Louisville,KY,40220,(502) 485-8209,(502) 485-8776,38.208045,-85.656011,,No,No,No,No,No,,No,,No,,Yes,No,All,,,,72.7,24,0,19,15,0,0,3,15,0,0,7:30 a.m.,1 p.m.,All,30,30,30,0,4,3,23,33.3,56.7,6.7,0,3.3,63.6,,,
275183,2751832,Binet School,183,Binet School,Binet School,,,,,,25,33,33,2:01,Grade 10,*,*,*,*,*,*,,7.08,69.2,0,69.2,29,0,0,0,5,*,29,0,0,0,0,87.9,0,90.7,,Non-A1 School,Non-A1 School,Non-A1 School,Non-A1 School,Non-A1 School,A3,K,12th,Title 1 Eligible - Schoolwide School,Trisha Gallagher,3410 Bon Air Ave,,,Louisville,KY,40220,(502) 485-8209,(502) 485-8776,38.208045,-85.656011,,No,No,No,No,No,,No,,#N/A,,Yes,No,High School,,,,72.7,24,0,19,15,0,0,3,15,0,0,7:30 a.m.,1 p.m.,High School,23,30,30,0,4,3,23,39.1,47.8,8.7,0,4.3,63.6,,,
275183,2751831,Binet School,183,Binet School,Binet School,,,,,,4,33,33,2:01,Grade 8,*,,*,*,,*,,7.08,69.2,0,69.2,29,0,0,0,5,*,29,0,0,0,0,87.9,0,90.7,,Non-A1 School,Non-A1 School,Non-A1 School,Non-A1 School,Non-A1 School,A3,K,12th,Title 1 Eligible - Schoolwide School,Trisha Gallagher,3410 Bon Air Ave,,,Louisville,KY,40220,(502) 485-8209,(502) 485-8776,38.208045,-85.656011,,No,No,No,No,No,,#N/A,,No,,Yes,No,Middle School,,,,72.7,24,0,19,15,0,0,3,15,0,0,7:30 a.m.,1 p.m.,Middle School,3,30,30,0,4,3,23,0,100,0,0,0,63.6,,,
275149,275149,Blake Elementary,149,Blake Elementary,Blake Elementary,Southern Zone,Southern High,Network 2,2,https://www.greatschools.org/kentucky/louisville/781-Blake-Elementary-School/,601,641,601,18:01,Grade 5,7,5,*,18,16,27,31,8.39,33.3,0,33.3,42,0,0,0,7,0,35,0,*,0,0,6.6,0,89.6,,238,2,2,27,https://sites.google.com/jefferson.kyschools.us/blake-elementary,A1,Preschool,5th,Title 1 Eligible - Schoolwide School,Stephanie Smith,3801 Bonaventure Blvd,,,Louisville,KY,40219,(502) 485-8210,(502) 485-8469,38.123078,-85.694191,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275149,Yes,No,No,No,No,,#N/A,,#N/A,,No,No,Elementary School,,7.6,0,1.7,11,0,3,0,0,0,6,4,0,0,7:30 a.m.,2:10 p.m.,Elementary School,543,581,543,38,543,0,0,25,27.4,38.7,1.5,6.8,79.4,82.9,1,Red
275225,275225,Bloom Elementary,225,Bloom Elementary,Bloom Elementary,Atherton Zone,Atherton High,Network 3,6,https://www.greatschools.org/kentucky/louisville/795-Bloom-Elementary-School/,553,553,553,17:01,Grade 5,46,12,59,63,23,77,77,14.93,11.1,0,11.1,7,0,0,0,*,0,5,0,*,0,0,1.3,0,95.7,,350,75,4,530,https://sites.google.com/jefferson.kyschools.us/bloom-elementary/home,A1,K,5th,Not a Title 1 School,Jack Jacobs,1627 Lucia Avenue,,,Louisville,KY,40204,(502) 485-8211,(502) 313-3417,38.236521,-85.719781,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275225,Yes,No,No,No,No,,#N/A,,#N/A,,No,No,Elementary School,,27.7,26.6,0.7,4,0,0,0,0,0,0,4,0,0,7:30 a.m.,2:10 p.m.,Elementary School,538,538,538,0,538,0,0,80.5,6.1,5,1.1,6.9,22.6,78.4,4,Green
275091,275091,Blue Lick Elementary,91,Blue Lick Elementary,Blue Lick Elementary,Southern Zone,Southern High,Network 2,4,https://www.greatschools.org/kentucky/louisville/750-Blue-Lick-Elementary-School/,545,590,545,13:01,Grade 5,20,18,29,40,38,50,25,10.77,11.5,0,11.5,30,0,0,0,13,*,16,0,*,0,0,5.1,0,92.1,,178,5,1,100,https://sites.google.com/jefferson.kyschools.us/blue-lick-elementary/home,A1,Preschool,5th,Title 1 Eligible - Schoolwide School,Miss Amy Uhlman,9801 Blue Lick Road,,,Louisville,KY,40229,(502) 485-8212,(502) 485-8131,38.106182,-85.691518,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275091,Yes,No,No,No,No,,#N/A,,#N/A,,No,No,Elementary School,,11.1,0,1.9,11,0,8,0,0,0,3,0,0,0,9:40 a.m.,4:20 p.m.,Elementary School,485,524,485,39,485,0,0,39,24.9,26.6,2.5,6.8,83.7,86.5,3,Yellow
275094,275094,Bowen Elementary,94,Bowen Elementary,Bowen Elementary,Eastern Zone,Eastern High,Network 3,6,https://www.greatschools.org/kentucky/louisville/752-Bowen-Elementary-School/,834,834,834,17:01,Grade 5,57,27,77,56,37,69,49,17.5,2.4,0,2.4,52,*,0,0,7,*,43,7,0,0,0,6.2,0,94.2,,597,40,2,840,https://sites.google.com/jefferson.kyschools.us/bowenelementary/home,A1,K,5th,Title 1 Eligible - No Program,Lisa Wathen,1601 Roosevelt Ave,,,Louisville,KY,40242,(502) 485-8213,(502) 313-3420,38.269814,-85.58193,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275094,Yes,No,No,No,No,,#N/A,,#N/A,,No,No,Elementary School,,7.5,38.4,2.9,24,0,4,0,0,0,18,13,0,0,9:40 a.m.,4:20 p.m.,Elementary School,775,775,775,0,775,0,0,47.1,16.9,19.5,10.3,5.8,44.8,76.4,3,Yellow
275260,275260,Brandeis Elementary,260,Brandeis Elementary,Brandeis Elementary,Magnet,Magnet Schools,Magnet,5,https://www.greatschools.org/kentucky/louisville/799-Brandeis-Elementary-School/,470,470,470,15:01,Grade 5,49,28,70,53,35,70,69,13.07,14.8,3.7,18.5,23,0,0,0,0,0,18,0,5,0,0,4.9,5,94.7,,400,75,2,50,https://schools.jefferson.kyschools.us/Elementary/brandeis/,A1,Preschool,5th,Title 1 Eligible - No Program,Stacey Rowan,2817 West Kentucky,,,Louisville,KY,40211,(502) 485-8214,(502) 778-7354,38.243894,-85.800076,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275260,No,No,Yes,No,No,STEAM,#N/A,,#N/A,,No,No,Elementary School,,20.1,26,3.6,17,0,3,0,0,0,13,*,0,0,8:40 a.m.,3:20 p.m.,Elementary School,453,453,453,0,453,0,0,18.1,55,5.7,13,7.3,56.2,85.8,3,Yellow
275038,275038,Breckinridge,38,Breckinridge-Franklin Elementary,Breckinridge-Franklin Elementary,Waggener Zone,Waggener High,Network 3,3,https://www.greatschools.org/kentucky/louisville/1905-Breckinridge-Franklin-Elementary-School/,422,422,422,10:01,Grade 5,25,23,*,41,43,*,43,11.96,3.7,11.1,14.8,13,0,0,0,4,*,9,0,*,0,0,3.1,0,88.1,,290,78,2,29,https://sites.google.com/jefferson.kyschools.us/special-area-bfes/home,A1,K,5th,Title 1 Eligible - Schoolwide School,Dustin Whitis,1351 Payne St.,,,Louisville,KY,40206,(502) 485-8215,(502) 313-3422,38.249314,-85.723794,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275038,Yes,Yes,No,No,No,,#N/A,,#N/A,,No,No,Elementary School,,10,3.3,0.9,4,0,*,0,0,0,0,4,0,0,9:40 a.m.,4:20 p.m.,Elementary School,349,349,349,0,349,0,0,18.6,57,16.3,2.6,5.4,82.5,80.8,2,Orange
275129,275129,Breckinridge Metropolitan High,129,Breckinridge Metropolitan High,Breckinridge Metropolitan High,,,,,,224,224,224,4:01,Grade 10,*,*,*,*,*,*,,17.08,4,0,4,103,*,0,13,15,0,85,13,*,5.8,0,46,0,55.8,,26,NA,NA,0,https://sites.google.com/jefferson.kyschools.us/breckmetro/home,A5,7th,12th,Title 1 Eligible - Schoolwide School,Erik Huber,1128 East Broadway St,,,Louisville,KY,40204,(502) 485-6678,(502) 485-6680,38.243875,-85.732485,,No,No,No,No,No,,No,,No,,Yes,No,All,,3.3,,33,74,0,0,0,0,0,*,73,0,0,7:30 a.m.,2:10 p.m.,All,122,122,122,0,0,1,121,10.7,77,7.4,0,4.9,77.7,,,
275129,2751292,Breckinridge Metropolitan High,129,Breckinridge Metropolitan High,Breckinridge Metropolitan High,,,,,,222,224,224,4:01,Grade 10,*,*,*,*,*,*,,17.08,4,0,4,103,*,0,13,15,0,85,13,*,5.8,0,46,0,55.8,,26,NA,NA,0,https://sites.google.com/jefferson.kyschools.us/breckmetro/home,A5,7th,12th,Title 1 Eligible - Schoolwide School,Erik Huber,1128 East Broadway St,,,Louisville,KY,40204,(502) 485-6678,(502) 485-6680,38.243875,-85.732485,,No,No,No,No,No,,No,,#N/A,,Yes,No,High School,,3.3,,33,74,0,0,0,0,0,*,73,0,0,7:30 a.m.,2:10 p.m.,High School,121,122,122,0,0,1,121,10.7,76.9,7.4,0,5,77.7,,,
275129,2751291,Breckinridge Metropolitan High,129,Breckinridge Metropolitan High,Breckinridge Metropolitan High,,,,,,2,224,224,4:01,Grade 8,*,*,,,,,,17.08,4,0,4,103,*,0,13,15,0,85,13,*,5.8,0,46,0,55.8,,26,NA,NA,0,https://sites.google.com/jefferson.kyschools.us/breckmetro/home,A5,7th,12th,Title 1 Eligible - Schoolwide School,Erik Huber,1128 East Broadway St,,,Louisville,KY,40204,(502) 485-6678,(502) 485-6680,38.243875,-85.732485,,No,No,No,No,No,,#N/A,,No,,Yes,No,Middle School,,3.3,,33,74,0,0,0,0,0,*,73,0,0,7:30 a.m.,2:10 p.m.,Middle School,1,122,122,0,0,1,121,0,100,0,0,0,77.7,,,
275045,275045,Butler Traditional High,45,Butler Traditional,Butler Traditional High,Magnet,Butler Traditional High,Magnet,3,https://www.greatschools.org/kentucky/louisville/719-Butler-Traditional-High-School/,1422,1422,1422,17:01,Grade 10,18,15,*,29,24,44,,14.26,9.2,2.3,11.5,540,0,0,62,9,19,519,53,*,4.36,1.3,38,19,89.5,0.5,38,5,2,500,https://schools.jefferson.kyschools.us/High/Butler/,A1,9th,12th,Title 1 Eligible - Schoolwide School,William Allen,2222 Crums Lane,,,Louisville,KY,40216,(502) 485-8220,(502) 485-8517,38.193853,-85.815409,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275045,No,No,No,No,Yes,Allied Health; JROTC; Automation Engineering; Management Entrepreneurship; Network Administration; Performing and Visual Arts; Pre-law and Criminal Justice; Pre-Nursing; Teaching and Learning; Web Development/Administration,No,,#N/A,,No,No,High School,BUTLER,9.1,0,25.3,360,0,*,0,0,0,266,232,0,0,7:30 a.m.,2:10 p.m.,High School,1375,1375,1375,0,0,0,1375,25,57.4,10.5,1.4,5.5,73,69.7,1,Red
275243,275243,Byck Elementary,243,Byck Elementary,Byck Elementary,Eastern Zone,Eastern High,Network 3,1,https://www.greatschools.org/kentucky/louisville/797-Byck-Elementary-School/,318,318,318,11:01,Grade 5,5,5,*,9,10,*,51,8.57,23.8,0,23.8,28,0,0,0,9,*,16,*,*,0,0,8.8,0,88.2,,138,0,0,0,https://www.jefferson.kyschools.us/page/byck-elementary,A1,K,5th,Title 1 Eligible - Schoolwide School,Dr. Carla Kolodey,2328 Cedar Street,,,Louisville,KY,40212,(502) 485-8221,(502) 485-8805,38.255806,-85.790384,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275243,Yes,Yes,No,Yes,No,Talent Development,#N/A,,#N/A,,No,No,Elementary School,,8.7,0,5.7,18,0,*,0,0,0,0,17,0,0,9:40 a.m.,4:20 p.m.,Elementary School,275,275,275,0,275,0,0,5.1,87.6,2.5,0.4,4.4,90.3,86.2,2,Orange
275004,275004,Camp Taylor Elementary,4,Camp Taylor Elementary,Camp Taylor Elementary,Atherton Zone,Atherton High,Network 3,2,https://www.greatschools.org/kentucky/louisville/701-Camp-Taylor-Elementary-School/,461,461,461,11:01,Grade 5,36,34,*,33,31,41,43,14.13,6.3,0,6.3,21,0,0,0,7,*,14,*,*,0,0,4.6,0,90.6,,200,35,2,250,https://sites.google.com/jefferson.kyschools.us/camptaylorelementary,A1,K,5th,Title 1 Eligible - Schoolwide School,John Shanton,1446 Belmar Dr,,,Louisville,KY,40213,(502) 485-8222,(502) 485-8812,38.196553,-85.719415,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275004,Yes,No,No,No,No,,#N/A,,#N/A,,No,No,Elementary School,,3,11.1,1.7,8,0,*,0,0,0,6,7,0,0,7:30 a.m.,2:10 p.m.,Elementary School,406,406,406,0,406,0,0,42.6,21.4,30.5,2,3.4,72.2,82.9,2,Orange
